Tabelle: 23211-0002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gestorbene: Deutschland, Jahre, Todesursachen, Geschlecht,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Altersgruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Todesursachenstatistik;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gestorbene (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Geschlecht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;männlich;;;;;;;;;;;;;;;;;;weiblich;;;;;;;;;;;;;;;;;
;;Altersgruppen;;;;;;;;;;;;;;;;;;Altersgruppen;;;;;;;;;;;;;;;;;
;;unter 1 Jahr;1 bis unter 15 Jahre;15 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 Jahre und mehr;Alter unbekannt;unter 1 Jahr;1 bis unter 15 Jahre;15 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 Jahre und mehr;Alter unbekannt
2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TDU-081;Grippe;3;11;4;-;3;5;9;13;25;49;97;121;160;175;208;333;451;-;.;15;.;.;3;3;11;11;14;28;33;62;106;112;132;267;697;-
TDU-082;Pneumonie;.;10;.;6;8;17;26;33;53;104;211;382;571;917;1189;2392;5152;-;3;6;.;3;5;13;14;19;28;58;107;188;308;505;739;1740;5866;-
TDU-083;Chronische Krankheiten der unteren Atemwege;-;.;3;.;3;9;23;37;99;227;741;1617;2593;3282;3141;3675;4247;-;-;-;3;.;3;.;10;16;41;146;492;1188;1972;2679;2891;3531;5652;-
TDU-0831;Asthma;-;.;3;.;.;.;13;15;16;23;32;35;39;29;25;70;118;-;-;-;3;.;.;.;6;6;7;10;18;36;49;76;77;158;385;-
TDU-09;Krankheiten des Verdauungssystems;3;12;8;10;39;93;233;444;629;1063;1814;2611;2876;2935;2491;3496;5465;-;4;7;.;12;24;52;132;205;260;439;842;1296;1574;1915;2004;3451;8922;-
TDU-091;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;-;-;.;-;-;.;3;12;14;32;57;113;126;164;158;276;487;-;-;-;-;-;.;.;.;5;8;6;23;47;67;103;126;268;688;-
TDU-092;Krankheiten der Leber;-;3;.;.;22;58;159;318;472;762;1263;1696;1689;1429;939;876;776;-;-;-;.;5;11;28;94;146;187;309;561;778;816;789;608;670;826;-
TDU-0921;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;-;.;.;.;20;52;145;306;451;735;1202;1611;1579;1314;818;742;612;-;-;-;-;3;6;24;80;133;172;276;524;705;733;675;505;531;563;-
TDU-10;Krankheiten der Haut und der Unterhaut;-;-;-;.;.;.;3;.;5;15;37;64;74;85;115;180;355;-;-;-;-;.;-;-;.;.;6;9;21;30;55;89;128;237;723;-
TDU-11;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;-;.;.;3;6;3;12;13;27;41;126;192;244;306;357;611;1055;-;.;3;3;.;4;4;9;10;31;31;83;136;196;306;384;789;2340;-
