Tabelle: 12411-0008
Bevölkerung: Deutschland, Stichtag, Altersjahre,;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nationalität, Geschlecht, Familienstand;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Deutsche;;;;;;;;;;;;;;Ausländer;;;;;;;;;;;;;
;männlich;;;;;;;weiblich;;;;;;;männlich;;;;;;;weiblich;;;;;;
;ledig;verheiratet;verwitwet;geschieden;Lebenspartnerschaft;Lebenspartnerschaft aufgehoben;Lebenspartner verstorben;ledig;verheiratet;verwitwet;geschieden;Lebenspartnerschaft;Lebenspartnerschaft aufgehoben;Lebenspartner verstorben;ledig;verheiratet;verwitwet;geschieden;Lebenspartnerschaft;Lebenspartnerschaft aufgehoben;Lebenspartner verstorben;ledig;verheiratet;verwitwet;geschieden;Lebenspartnerschaft;Lebenspartnerschaft aufgehoben;Lebenspartner verstorben
31.12.2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76-Jährige;16804;226358;29571;27986;-;-;-;14593;182407;119612;42684;-;-;-;1880;16973;2009;2109;-;-;-;3065;12007;10076;2895;-;-;-
77-Jährige;13846;203675;29682;24131;-;-;-;12472;161160;121013;38065;-;-;-;1673;16226;2216;1935;-;-;-;2718;10798;9804;2536;-;-;-
78-Jährige;11195;167367;26939;19208;-;-;-;10327;131391;109901;32150;-;-;-;1379;14576;2073;1533;-;-;-;2329;8816;8985;2202;-;-;-
79-Jährige;9311;138129;25023;15476;-;-;-;9420;107607;101615;27111;-;-;-;1034;12357;1905;1162;-;-;-;1532;7369;8104;1651;-;-;-
80-Jährige;11701;181565;36547;18726;-;-;-;11146;137466;144326;34370;-;-;-;889;11131;1917;984;-;-;-;1405;5940;7579;1449;-;-;-
81-Jährige;10360;174847;39064;17471;-;-;-;11239;128453;151907;33405;-;-;-;727;9765;1864;865;-;-;-;1068;4882;6582;1276;-;-;-
82-Jährige;9362;156156;39969;15255;-;-;-;10857;112409;153301;29685;-;-;-;750;9384;1966;794;-;-;-;1221;4282;6489;1121;-;-;-
83-Jährige;10498;176210;51054;15991;-;-;-;12584;123399;195816;33243;-;-;-;639;7897;1958;669;-;-;-;1282;3211;6118;1021;-;-;-
84-Jährige;9533;165072;54968;13829;-;-;-;12659;111244;212803;31449;-;-;-;631;7511;1900;592;-;-;-;1166;3026;6236;910;-;-;-
85 Jahre und mehr;30867;600640;349504;44872;-;-;-;79022;317297;1390810;125105;-;-;-;2426;25950;9755;2159;-;-;-;5314;9423;28620;4039;-;-;-
__________
"Ab 2011: Ergebnisse auf Grundlage des Zensus 2011.
Ab 2022: Ergebnisse auf Grundlage des Zensus 2022."
© Statistisches Bundesamt (Destatis), 2026
Stand: 16.03.2026 / 14:59:49
